"Barnacle","operculum_length","AFDW","Date","Block","Temp","filename.x","filename.y","air_15min","total_aquat"
108,5.48,24.396,"17-Oct",6,10,"4_T17_10.csv","4_T17_AQ.csv",0.0882432201901912,1.92531027659743
108,5.48,24.396,"16-Nov",6,35,"4_N16_35.csv","4_N16_AQ.csv",0.158898940751735,2.13457483110217
108,5.48,24.396,"3-Nov",6,20,"3_N03_20.csv","3_N03_AQ2.csv",0.259260935898293,2.33085111345822
11,5.19,26.036,"25-Oct",2,25,"2_T25_25.csv","2_T25_AQ.csv",0.250953797385006,3.23008915206711
11,5.19,26.036,"11-Nov",2,35,"4_N11_35.csv","4_N11_AQ.csv",0.149870697416762,1.79363372529843
11,5.19,26.036,"12-Oct",2,15,"1_T11_15.csv","1_T11_AQ.csv",0.0924093343620046,2.2172767033523
112,5.95,23.994,"19-Oct",4,25,"3_T19_25.csv","3_T19_AQ.csv",0.234424374192288,3.87078319660162
112,5.95,23.994,"7-Nov",4,10,"4_N07_10.csv","4_N07_AQ.csv",0.0116347883933594,3.44159186675034
112,5.95,23.994,"18-Nov",4,35,"1_N18_35.csv","1_N18_AQ.csv",0.0999274512146079,1.43687404323688
14,5.51,35.564,"10-Nov",1,30,"1_N10_30.csv","1_N10_AQ.csv",0.21324397766881,2.7093043997167
14,5.51,35.564,"14-Oct",1,10,"3_T14_10.csv","3_T14_AQ.csv",0.1254618834077,2.7079853043728
14,5.51,35.564,"26-Oct",1,20,"1_T26_20.csv","1_T26_AQ.csv",0.260200115773579,3.29660708396639
2,5.15,20.82,"10-Nov",1,30,"3_N10_30.csv","3_N10_AQ.csv",0.145762289431262,2.68799386393525
2,5.15,20.82,"14-Oct",1,10,"1_T14_10.csv","1_T14_AQ.csv",0.0854029738750558,2.03174912969169
2,5.15,20.82,"26-Oct",1,20,"3_T26_20.csv","3_T26_AQ.csv",0.0746408719760238,1.73974215772889
20,5.11,21.804,"3-Nov",6,20,"1_N03_20.csv","1_N03_AQ2.csv",-0.0252279318825103,2.90703122591899
20,5.11,21.804,"17-Oct",6,10,"1_T17_10.csv","1_T17_AQ2.csv",0.00575966763935937,1.28162362053425
20,5.11,21.804,"16-Nov",6,35,"3_N16_35.csv","3_N16_AQ.csv",0.162654418709786,1.95662645924955
3,5.08,23.354,"24-Oct",7,25,"3_T24_25.csv","3_T24_AQ.csv",0.12564966340501,2.19336664610496
3,5.08,23.354,"22-Nov",7,38,"1_N22_38.csv","1_N22_AQ.csv",0.0614689653230483,0.439246920814455
3,5.08,23.354,"4-Nov",7,15,"3_N04_152.csv","3_N04_AQ.csv",0.0468007020180963,0.983876041573938
41,5.84,32.76,"25-Oct",2,25,"3_T25_25.csv","3_T25_AQ.csv",0.148737266608374,2.90876189816038
41,5.84,32.76,"11-Nov",2,35,"3_N11_35.csv","3_N11_AQ.csv",0.140137594577187,2.81647123030418
41,5.84,32.76,"12-Oct",2,15,"2_T11_15.csv","2_T11_AQ.csv",0.158935588548527,3.33162717383218
44,5.03,30.716,"10-Oct",5,30,"2_T09_30.csv","2_T09_AQ.csv",0.119626355620546,1.93628967373766
44,5.03,30.716,"21-Nov",5,38,"3_N21_38.csv","3_N21_AQ.csv",0.0921633854329447,1.19260269788091
44,5.03,30.716,"9-Nov",5,15,"4_N09_15.csv","4_N09_AQ.csv",0.110742712202385,1.78452778934195
49,5.31,20.054,"2-Nov",3,20,"4_N02_20.csv","4_N02_AQ.csv",0.180375561699353,1.01503215689481
49,5.31,20.054,"21-Oct",3,30,"1_T21_30.csv","1_T21_AQ.csv",0.212796858940338,2.64166636096795
49,5.31,20.054,"14-Nov",3,40,"1_N14_40.csv","1_N14_AQ.csv",0.038255177163723,0.176019965979792
54,5.01,21.736,"18-Nov",4,35,"4_N18_35.csv","4_N18_AQ.csv",0.248103479518871,1.87713747793519
54,5.01,21.736,"19-Oct",4,25,"1_T19_25.csv","1_T19_AQ.csv",0.130054418185857,1.63996159007885
54,5.01,21.736,"7-Nov",4,10,"1_N07_10.csv","1_N07_AQ.csv",0.0476778016417864,1.75320982363263
59,5.45,24.992,"21-Oct",3,30,"2_T21_30.csv","2_T21_AQ.csv",0.116167195564267,2.58858719256416
59,5.45,24.992,"2-Nov",3,20,"1_N02_20.csv","1_N02_AQ.csv",0.258407275780429,4.85990860082582
59,5.45,24.992,"14-Nov",3,40,"4_N14_40.csv","4_N14_AQ.csv",0.395641365160248,0.120343045767072
63,5.29,37.446,"19-Oct",4,25,"2_T19_25.csv","2_T19_AQ.csv",0.145318618881815,1.90603991958185
63,5.29,37.446,"18-Nov",4,35,"3_N18_35.csv","3_N18_AQ.csv",0.282666770285618,1.47915729386757
63,5.29,37.446,"7-Nov",4,10,"3_N07_10.csv","3_N07_AQ.csv",-0.0180996137706071,1.31554688362156
64,5.23,28.998,"24-Oct",7,25,"2_T24_25.csv","2_T24_AQ.csv",0.179646940926916,2.06809090737471
64,5.23,28.998,"11-Nov",2,35,"1_N11_35.csv","1_N11_AQ.csv",0.116405687369931,1.91166147450162
64,5.23,28.998,"25-Oct",2,25,"1_T25_25.csv","1_T25_AQ.csv",0.119653450724127,2.09719222033393
64,5.23,28.998,"12-Oct",2,15,"3_T11_15.csv","3_T11_AQ.csv",0.119120034776296,2.88043415334507
65,5.89,27.344,"22-Nov",7,38,"3_N22_38.csv","3_N22_AQ.csv",0.0955789962514904,0.490742732306645
65,5.89,27.344,"4-Nov",7,15,"1_N04_15.csv","1_N04_AQ.csv",0.0996810228923821,1.04162054169702
75,5.8,37.36,"16-Nov",6,35,"1_N16_35.csv","1_N16_AQ.csv",0.145653125484552,3.30025681876387
75,5.8,37.36,"17-Oct",6,10,"3_T17_10.csv","3_T17_AQ.csv",0.00827953239230904,3.29676579477006
75,5.8,37.36,"3-Nov",6,20,"4_N03_20.csv","4_N03_AQ.csv",0.295321123081682,4.28548067431143
80,6.13,56.892,"26-Oct",1,20,"2_T26_20.csv","2_T26_AQ.csv",0.187130347764557,2.26576886021386
80,6.13,56.892,"14-Oct",1,10,"5_T14_10.csv","5_T14_AQ.csv",0.0200770897771092,0.670403779787526
80,6.13,56.892,"10-Nov",1,30,"4_N10_30.csv","4_N10_AQ.csv",0.181527907412503,2.30600196096075
90,5.39,32.996,"2-Nov",3,20,"3_N02_20.csv","3_N02_AQ.csv",0.234769662892209,0.978846714708124
90,5.39,32.996,"21-Oct",3,30,"3_T21_30.csv","3_T21_AQ.csv",0.257110644906185,3.66457494420338
90,5.39,32.996,"14-Nov",3,40,"3_N14_40.csv","3_N14_AQ.csv",0.0585762901185112,0.137215442959043
92,5.57,27.158,"10-Oct",5,30,"1_T09_30.csv","1_T09_AQ.csv",0.193053975311364,2.2698194776805
92,5.57,27.158,"9-Nov",5,15,"1_N09_15.csv","1_N09_AQ.csv",-0.0100704930714441,1.74420010386453
92,5.57,27.158,"21-Nov",5,38,"4_N21_38.csv","4_N21_AQ.csv",0.120033055862957,0.487834109139392
98,5.54,27.926,"4-Nov",7,15,"4_N04_152.csv","4_N04_AQ.csv",0.0925994988289546,2.29239122715151
98,5.54,27.926,"24-Oct",7,25,"1_T24_25.csv","1_T24_AQ.csv",0.197041682151474,3.32272938675122
98,5.54,27.926,"22-Nov",7,38,"4_N22_38.csv","4_N22_AQ.csv",0.203628411321741,1.20747735990565
99,5.52,27.788,"9-Nov",5,15,"3_N09_15.csv","3_N09_AQ.csv",0.250029268599517,0.452746307998368
99,5.52,27.788,"10-Oct",5,30,"3_T09_30.csv","3_T09_AQ.csv",0.291005827472239,1.75098451773794
99,5.52,27.788,"21-Nov",5,38,"1_N21_38.csv","1_N21_AQ.csv",0.328288301388799,1.55302676605147
